zaman_olcum,station1_sicaklik_2m_mean,station1_nispi_nem_2m_mean,station1_gunes_radyasyon,station1_ruzgar_hizi,station2_sicaklik_2m_mean,station2_nispi_nem_2m_mean,station2_gunes_radyasyon,station2_ruzgar_hizi,station3_sicaklik_2m_mean,station3_nispi_nem_2m_mean,station3_gunes_radyasyon,station3_ruzgar_hizi
2014-03-31 18:00:00,-0.6212140157341729,-0.7364906450993931,-0.13068522900866694,-0.9810202378169326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31 19:00:00,-0.8914007475262069,-0.3122689219730267,-0.6618053189168726,-1.0316234718775348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31 20:00:00,-1.0810600184043895,-0.15218525286873752,-0.7312137207388322,-1.100627881960174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31 21:00:00,-1.1339158807802765,-0.23889724030022738,-0.7312137207388322,-1.0776264119326278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31 22:00:00,-1.1681167329058504,-0.29225846333499056,-0.7312137207388322,-1.146630822015267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31 23:00:00,-1.1214792072800677,-0.4256615209218986,-0.7312137207388322,-1.3306425822356382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 00:00:00,-1.5303348485994286,0.40143743611692934,-0.7312137207388322,-1.0316234718775348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 01:00:00,-1.6842386831645109,0.8883585963091422,-0.7312137207388322,-0.9396175917673488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 02:00:00,-1.6344919891636764,0.728274927204853,-0.7312137207388322,-0.9166161217398026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 03:00:00,-1.7044482776023502,0.8216570675156881,-0.7312137207388322,-0.36458084107868843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 04:00:00,-1.793059576291337,0.9750705837406323,-0.7312137207388322,-0.36458084107868843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 05:00:00,-1.7837320711661804,0.9083690549471782,-0.7312137207388322,-0.663599951436792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 06:00:00,-1.8692342014801153,1.0351019596547408,-0.7312137207388322,-1.100627881960174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 07:00:00,-1.8350333493545414,1.0884631826895037,-0.5982295559034809,-1.146630822015267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 08:00:00,-1.4106318661599198,0.541510646583182,0.0853557124606932,-1.261638172152999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 09:00:00,-1.1059333654048067,0.08794025078769625,0.8126857718891282,-1.0316234718775348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 10:00:00,-0.8836278265885764,-0.07214341831659292,1.3650366670605212,-1.0776264119326278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 11:00:00,-0.6317851882093505,-0.4189913680425527,1.9395515897044733,-1.4456499323733705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 12:00:00,-0.5027547006446852,-0.8592214580793479,2.2189349886348824,-1.3536440522631847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 13:00:00,-0.4094796493931199,-0.9792842099075652,2.127945823221221,-1.2846396421805455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 14:00:00,-0.36595129214238953,-0.9325931397521472,1.4630249990444641,-1.3536440522631847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 15:00:00,-0.33019585582928956,-0.9792842099075652,1.6100074970203786,-1.5376558124835564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 16:00:00,-0.36750587632991566,-0.9125826811141111,0.5811300111889767,-1.6986661026763812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 17:00:00,-0.36750587632991566,-0.8458811523206574,0.21075744684490627,-1.7676705127590204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01 18:00:00,-0.4017067284554895,-0.5257138141120793,-0.2605197688873915,-1.83667492284166,-0.36749613410219184,-0.5486355451528324,-0.3379245439372521,-1.5056541210812213,0.0,0.0,0.0,0.0
2014-04-01 19:00:00,-0.5898114151461459,0.014568569114896665,-0.669387749368011,-1.83667492284166,-0.5945380878683918,0.0837624538914102,-0.6669024962215839,-1.5056541210812213,0.0,0.0,0.0,0.0
2014-04-01 20:00:00,-0.7188419027108112,-0.33894953349040813,-0.7312137207388322,-1.6066602225661957,-0.9274306822418061,0.6118473809283559,-0.727472444115089,-1.5056541210812213,0.0,0.0,0.0,0.0
2014-04-01 21:00:00,-0.8338811325877417,-0.08548372407528407,-0.7312137207388322,-1.5836587525386492,-1.1836199138563694,0.8009148239415831,-0.727472444115089,-1.5056541210812213,0.0,0.0,0.0,0.0
2014-04-01 22:00:00,-0.8774094898384721,-0.16552555862742865,-0.7312137207388322,-1.5606572825111025,-1.2603232766152208,0.8009148239415831,-0.727472444115089,-1.5056541210812213,0.0,0.0,0.0,0.0
2014-04-01 23:00:00,-1.126142959842646,0.27470453140936657,-0.7312137207388322,-1.1926337620703598,-1.3631057827120814,0.9378257309511614,-0.727472444115089,-1.2478345514886418,0.0,0.0,0.0,0.0
2014-04-02 00:00:00,-1.359330587971559,0.8349973732743793,-0.7312137207388322,-0.5945955413541527,-1.398389329581153,0.8987083289484248,-0.727472444115089,-0.7321954123034828,0.0,0.0,0.0,0.0
2014-04-02 01:00:00,-1.3842039349719764,0.868348137671106,-0.7312137207388322,-0.7096028914918849,-1.522648777250492,1.1138540399634764,-0.727472444115089,-0.8868871540590304,0.0,0.0,0.0,0.0
2014-04-02 02:00:00,-1.4292868764102329,0.93504966646456,-0.7312137207388322,-0.7556058315469778,-1.640771955899123,1.2507649469730548,-0.727472444115089,-0.8611051970997725,0.0,0.0,0.0,0.0
2014-04-02 03:00:00,-1.4961339964738545,1.0150915010167045,-0.7312137207388322,-0.43358525116132773,-1.6867939735544337,1.2964019159762479,-0.727472444115089,-0.629067584466451,0.0,0.0,0.0,0.0
2014-04-02 04:00:00,-1.5318894327869546,1.0150915010167045,-0.7312137207388322,-0.5485926012990596,-1.71440718414762,1.3159606169776161,-0.727472444115089,-0.5001577996701609,0.0,0.0,0.0,0.0
2014-04-02 05:00:00,-1.5738632058501587,0.9950810423786685,-0.7312137207388322,-0.5715940713266062,-1.77116767258917,1.3485584519798965,-0.727472444115089,-0.5775036705479353,0.0,0.0,0.0,0.0
2014-04-02 06:00:00,-1.6857932673520373,1.1618348643623027,-0.7312137207388322,-0.7786073015745241,-1.8064512194582416,1.3811562869821763,-0.727472444115089,-0.551721713588677,0.0,0.0,0.0,0.0
2014-04-02 07:00:00,-1.6422649101013067,1.1885154758796843,-0.5993960836651945,-0.6866014214643383,-1.7128731168924431,1.3485584519798965,-0.6140522475694078,-0.21655627311832373,0.0,0.0,0.0,0.0
2014-04-02 08:00:00,-1.253618863219785,0.941719819343905,0.0760234903669844,-0.502589661243967,-1.2342441332772112,0.9508648649520735,-0.02022922900563193,-0.21655627311832373,0.0,0.0,0.0,0.0
2014-04-02 09:00:00,-0.7981256962746416,0.361416518840857,0.6458723019640819,-0.6175970113816989,-0.663571114351358,0.0968015878923228,0.5973467103006949,-0.4228119287923874,0.0,0.0,0.0,0.0
2014-04-02 10:00:00,-0.39859756008043745,-0.38564060364582625,1.5370995119132784,-0.9396175917673488,-0.2861905695778099,-0.5681942461542008,1.4197915910115246,-0.654849541425709,0.0,0.0,0.0,0.0
2014-04-02 11:00:00,-0.23225705201514604,-0.7058079418544047,1.9179708261127717,-1.261638172152999,-0.16806739092917847,-0.7637812561678842,1.831310942876221,-0.8095412831812566,0.0,0.0,0.0,0.0
