zaman_olcum,station1_sicaklik_2m_mean,station1_nispi_nem_2m_mean,station1_gunes_radyasyon,station1_ruzgar_hizi,station2_sicaklik_2m_mean,station2_nispi_nem_2m_mean,station2_gunes_radyasyon,station2_ruzgar_hizi,station3_sicaklik_2m_mean,station3_nispi_nem_2m_mean,station3_gunes_radyasyon,station3_ruzgar_hizi
2014-03-31 18:00:00,11.88,35.4,0.61776,1.7222222222222223,,,,,,,,
2014-03-31 19:00:00,8.983333333333333,46.0,0.0714,1.6203703703703702,,,,,,,,
2014-03-31 20:00:00,6.949999999999999,50.0,0.0,1.4814814814814814,,,,,,,,
2014-03-31 21:00:00,6.383333333333333,47.833333333333336,0.0,1.5277777777777777,,,,,,,,
2014-03-31 22:00:00,6.016666666666667,46.5,0.0,1.3888888888888888,,,,,,,,
2014-03-31 23:00:00,6.516666666666667,43.16666666666666,0.0,1.0185185185185184,,,,,,,,
2014-04-01 00:00:00,2.1333333333333333,63.833333333333336,0.0,1.6203703703703702,,,,,,,,
2014-04-01 01:00:00,0.4833333333333334,76.0,0.0,1.805555555555556,,,,,,,,
2014-04-01 02:00:00,1.0166666666666666,72.0,0.0,1.851851851851852,,,,,,,,
2014-04-01 03:00:00,0.2666666666666666,74.33333333333333,0.0,2.962962962962963,,,,,,,,
2014-04-01 04:00:00,-0.6833333333333332,78.16666666666667,0.0,2.962962962962963,,,,,,,,
2014-04-01 05:00:00,-0.5833333333333334,76.5,0.0,2.361111111111111,,,,,,,,
2014-04-01 06:00:00,-1.5,79.66666666666667,0.0,1.4814814814814814,,,,,,,,
2014-04-01 07:00:00,-1.1333333333333333,81.0,0.1368,1.3888888888888888,,,,,,,,
2014-04-01 08:00:00,3.4166666666666665,67.33333333333333,0.84,1.1574074074074074,,,,,,,,
2014-04-01 09:00:00,6.683333333333333,56.0,1.5882000000000005,1.6203703703703702,,,,,,,,
2014-04-01 10:00:00,9.066666666666666,52.0,2.1564,1.5277777777777777,,,,,,,,
2014-04-01 11:00:00,11.766666666666666,43.333333333333336,2.7474000000000003,0.7870370370370371,,,,,,,,
2014-04-01 12:00:00,13.15,32.333333333333336,3.0348,0.9722222222222222,,,,,,,,
2014-04-01 13:00:00,14.15,29.33333333333333,2.9412000000000003,1.1111111111111112,,,,,,,,
2014-04-01 14:00:00,14.616666666666667,30.5,2.2572,0.9722222222222222,,,,,,,,
2014-04-01 15:00:00,15.0,29.33333333333333,2.4084,0.6018518518518517,,,,,,,,
2014-04-01 16:00:00,14.6,31.0,1.35,0.2777777777777778,,,,,,,,
2014-04-01 17:00:00,14.6,32.666666666666664,0.9690000000000002,0.1388888888888889,,,,,,,,
2014-04-01 18:00:00,14.233333333333334,40.66666666666666,0.4842,0.0,14.233333333333334,41.0,0.3936,0.0,,,,
2014-04-01 19:00:00,12.216666666666669,54.16666666666666,0.0636,0.0,11.766666666666666,57.16666666666666,0.0612,0.0,,,,
2014-04-01 20:00:00,10.833333333333334,45.333333333333336,0.0,0.4629629629629629,8.15,70.66666666666667,0.0,0.0,,,,
2014-04-01 21:00:00,9.6,51.66666666666666,0.0,0.5092592592592592,5.366666666666667,75.5,0.0,0.0,,,,
2014-04-01 22:00:00,9.133333333333333,49.66666666666666,0.0,0.5555555555555556,4.533333333333332,75.5,0.0,0.0,,,,
2014-04-01 23:00:00,6.466666666666666,60.66666666666666,0.0,1.2962962962962965,3.4166666666666665,79.0,0.0,0.4629629629629629,,,,
2014-04-02 00:00:00,3.966666666666667,74.66666666666667,0.0,2.5,3.033333333333333,78.0,0.0,1.3888888888888888,,,,
